model,checkpoint,mode,task,task_outputs,hardware,workload,generated_triton_ms,torch_eager_ms,generated_triton_speedup_vs_eager,optimized_kernels,force_kernel_status,notes
MatRIS-10M-OAM,OAM,inference,e,energy,RTX 3090 single GPU,"batch=1; supercell=1; warmup=3; repeat=8",52.80,40.52,0.77x,"generated SiLU; generated Sigmoid","not integrated","Pure energy inference. Current generated activation kernels are slower than eager."
MatRIS-10M-OAM,OAM,inference,ef,"energy; force",RTX 3090 single GPU,"batch=1; supercell=1; warmup=3; repeat=8",117.77,105.33,0.89x,"generated SiLU; generated Sigmoid","not integrated","Force inference uses autograd through the full energy graph."
MatRIS-10M-OAM,OAM,inference,efsm,"energy; force; stress; magnetic moment",RTX 3090 single GPU,"batch=1; supercell=1; warmup=3; repeat=8",117.24,113.03,0.96x,"generated SiLU; generated Sigmoid","not integrated","Full inference workload. Current generated activation kernels are close to eager but not faster."
MatRIS-10M-OAM,OAM,training,e,energy,RTX 3090 single GPU,"batch=1; supercell=1; optimizer step; warmup=3; repeat=8",155.13,137.75,0.89x,"generated SiLU; generated Sigmoid","not integrated","Training includes backward and AdamW optimizer step."
MatRIS-10M-OAM,OAM,training,ef,"energy; force",RTX 3090 single GPU,"batch=1; supercell=1; optimizer step; warmup=3; repeat=8",366.68,328.42,0.90x,"generated SiLU; generated Sigmoid","not integrated","Force training is dominated by autograd through the full energy graph."
MatRIS-10M-OAM,OAM,training,efs,"energy; force; stress",RTX 3090 single GPU,"batch=1; supercell=1; optimizer step; warmup=3; repeat=8",355.70,332.95,0.94x,"generated SiLU; generated Sigmoid","not integrated","Stress path uses higher-order autograd; current generated kernels do not cover this bottleneck."
MatRIS-10M-MP,MP,inference,e,energy,RTX 3090 single GPU,"batch=1; supercell=1; warmup=3; repeat=8",51.34,42.15,0.82x,"generated SiLU; generated Sigmoid","not integrated","Pure energy inference. Current generated activation kernels are slower than eager."
MatRIS-10M-MP,MP,inference,ef,"energy; force",RTX 3090 single GPU,"batch=1; supercell=1; warmup=3; repeat=8",121.39,110.40,0.91x,"generated SiLU; generated Sigmoid","not integrated","Force inference uses autograd through the full energy graph."
MatRIS-10M-MP,MP,inference,efsm,"energy; force; stress; magnetic moment",RTX 3090 single GPU,"batch=1; supercell=1; warmup=3; repeat=8",117.67,107.91,0.92x,"generated SiLU; generated Sigmoid","not integrated","Full inference workload. Current generated activation kernels are not enough for end-to-end speedup."
MatRIS-10M-MP,MP,training,e,energy,RTX 3090 single GPU,"batch=1; supercell=1; optimizer step; warmup=3; repeat=8",148.27,141.73,0.96x,"generated SiLU; generated Sigmoid","not integrated","Training includes backward and AdamW optimizer step."
MatRIS-10M-MP,MP,training,ef,"energy; force",RTX 3090 single GPU,"batch=1; supercell=1; optimizer step; warmup=3; repeat=8",353.32,327.74,0.93x,"generated SiLU; generated Sigmoid","not integrated","Force training is dominated by autograd through the full energy graph."
MatRIS-10M-MP,MP,training,efs,"energy; force; stress",RTX 3090 single GPU,"batch=1; supercell=1; optimizer step; warmup=3; repeat=8",358.71,330.96,0.92x,"generated SiLU; generated Sigmoid","not integrated","Stress path uses higher-order autograd; current generated kernels do not cover this bottleneck."
